,open,open,open,open,close,close,close,close,high,high,high,high,low,low,low,low,volume,volume,volume,volume,money,money,money,money
,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close
2019-07-09 09:35:00,13.63,13.7,13.63,13.7,13.67,13.69,13.67,13.68,13.68,13.71,13.68,13.7,13.63,13.68,13.63,13.68,1143400.0,1143400.0,411500.0,486100.0,15596355.0,15596355.0,5632185.0,6654323.0
2019-07-09 09:40:00,13.68,13.68,13.66,13.66,13.67,13.68,13.65,13.65,13.69,13.69,13.67,13.67,13.67,13.67,13.65,13.65,272800.0,282000.0,168600.0,203900.0,3731108.0,3853614.0,2304859.0,2785913.0
2019-07-09 09:45:00,13.65,13.65,13.63,13.63,13.63,13.64,13.6,13.6,13.65,13.65,13.64,13.64,13.62,13.64,13.6,13.6,261800.0,315700.0,170800.0,313100.0,3569102.0,4306803.0,2331083.0,4260555.0
2019-07-09 09:50:00,13.6,13.62,13.57,13.59,13.63,13.63,13.58,13.6,13.63,13.63,13.59,13.6,13.6,13.6,13.56,13.56,134100.0,385700.0,134100.0,169400.0,1825819.0,5247569.0,1825819.0,2300557.0
2019-07-09 09:55:00,13.59,13.61,13.59,13.61,13.61,13.61,13.6,13.61,13.61,13.62,13.6,13.62,13.59,13.6,13.59,13.6,453900.0,453900.0,100500.0,121900.0,6171954.0,6171954.0,1366567.0,1659043.0
2019-07-09 10:00:00,13.61,13.65,13.61,13.65,13.62,13.65,13.62,13.64,13.62,13.65,13.62,13.65,13.6,13.64,13.6,13.63,116400.0,145100.0,99500.0,99500.0,1584391.0,1977713.0,1357421.0,1357421.0
2019-07-09 10:05:00,13.64,13.64,13.6,13.62,13.62,13.65,13.61,13.65,13.65,13.65,13.62,13.65,13.62,13.62,13.6,13.62,59500.0,198100.0,59500.0,148200.0,811318.0,2694574.0,811318.0,2019943.0
2019-07-09 10:10:00,13.63,13.63,13.59,13.59,13.63,13.63,13.58,13.58,13.63,13.63,13.6,13.61,13.6,13.6,13.58,13.58,293100.0,293100.0,67000.0,190900.0,3992557.0,3992557.0,911892.0,2594607.0
2019-07-09 10:15:00,13.59,13.61,13.59,13.61,13.6,13.61,13.58,13.58,13.6,13.62,13.6,13.62,13.59,13.59,13.58,13.58,82300.0,384100.0,51400.0,224500.0,1118801.0,5218231.0,699383.0,3051683.0
2019-07-09 10:20:00,13.59,13.6,13.59,13.6,13.6,13.6,13.59,13.59,13.6,13.61,13.6,13.6,13.59,13.59,13.58,13.59,27100.0,174800.0,27100.0,139100.0,368511.0,2375882.0,368511.0,1890926.0
2019-07-09 10:25:00,13.59,13.61,13.59,13.61,13.59,13.61,13.59,13.6,13.6,13.62,13.6,13.62,13.59,13.6,13.59,13.6,113100.0,189000.0,104600.0,176600.0,1537409.0,2569909.0,1422545.0,2403773.0
2019-07-09 10:30:00,13.6,13.6,13.57,13.58,13.6,13.6,13.57,13.57,13.62,13.62,13.58,13.58,13.56,13.58,13.56,13.57,641000.0,641000.0,94400.0,306100.0,8707779.0,8707779.0,1282211.0,4154406.0
2019-07-09 10:35:00,13.59,13.59,13.56,13.57,13.58,13.58,13.56,13.58,13.59,13.59,13.58,13.58,13.56,13.57,13.56,13.56,160700.0,328500.0,45200.0,328500.0,2181309.0,4454661.0,613479.0,4454661.0
2019-07-09 10:40:00,13.58,13.58,13.56,13.56,13.58,13.58,13.54,13.56,13.58,13.58,13.56,13.56,13.57,13.57,13.54,13.55,55700.0,132800.0,55700.0,121800.0,756060.0,1799342.0,756060.0,1650575.0
2019-07-09 10:45:00,13.56,13.58,13.56,13.56,13.57,13.57,13.55,13.55,13.57,13.58,13.56,13.56,13.54,13.56,13.53,13.53,142700.0,371300.0,55500.0,371300.0,1934004.0,5028477.0,752889.0,5028477.0
2019-07-09 10:50:00,13.55,13.56,13.54,13.54,13.56,13.56,13.54,13.54,13.56,13.56,13.54,13.54,13.54,13.55,13.53,13.53,70500.0,222500.0,70500.0,125300.0,954972.0,3011955.0,954972.0,1696019.0
2019-07-09 10:55:00,13.53,13.53,13.49,13.49,13.54,13.54,13.49,13.5,13.54,13.54,13.5,13.5,13.53,13.53,13.47,13.48,64700.0,942500.0,64700.0,439100.0,875649.0,12724240.0,875649.0,5914136.0
2019-07-09 11:00:00,13.49,13.49,13.47,13.49,13.46,13.5,13.46,13.5,13.49,13.5,13.49,13.5,13.46,13.49,13.46,13.48,594300.0,594300.0,56300.0,249500.0,8003798.0,8003798.0,759655.0,3364968.0
2019-07-09 11:05:00,13.5,13.5,13.46,13.49,13.5,13.5,13.47,13.49,13.5,13.5,13.49,13.5,13.48,13.49,13.45,13.49,131400.0,1527000.0,92900.0,189400.0,1772653.0,20547227.0,1253184.0,2555459.0
2019-07-09 11:10:00,13.49,13.51,13.49,13.51,13.49,13.53,13.49,13.53,13.5,13.53,13.5,13.53,13.49,13.5,13.49,13.5,258000.0,258000.0,78100.0,94000.0,3480701.0,3480701.0,1054676.0,1269892.0
2019-07-09 11:15:00,13.5,13.53,13.48,13.48,13.54,13.54,13.48,13.48,13.56,13.56,13.5,13.5,13.5,13.5,13.48,13.48,258600.0,258600.0,64300.0,135100.0,3501843.0,3501843.0,868706.0,1822014.0
2019-07-09 11:20:00,13.5,13.5,13.48,13.49,13.48,13.49,13.48,13.49,13.5,13.5,13.49,13.49,13.48,13.48,13.47,13.48,132300.0,144400.0,66800.0,66800.0,1784072.0,1946797.0,900796.0,900796.0
2019-07-09 11:25:00,13.49,13.49,13.46,13.46,13.47,13.49,13.46,13.48,13.49,13.49,13.48,13.48,13.47,13.47,13.46,13.46,249300.0,249300.0,51800.0,68800.0,3360313.0,3360313.0,698010.0,926807.0
2019-07-09 11:30:00,13.48,13.49,13.47,13.48,13.49,13.5,13.47,13.47,13.49,13.52,13.48,13.48,13.48,13.49,13.46,13.47,92900.0,259800.0,35900.0,35900.0,1253055.0,3506449.0,483798.0,483798.0
2019-07-09 11:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 11:50:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:45:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09 13:05:00,13.47,13.51,13.47,13.51,13.49,13.52,13.48,13.52,13.49,13.53,13.49,13.53,13.46,13.49,13.46,13.49,431900.0,431900.0,61200.0,256700.0,5817923.0,5817923.0,825787.0,3467736.0
2019-07-09 13:10:00,13.52,13.55,13.52,13.55,13.52,13.56,13.52,13.55,13.53,13.56,13.53,13.56,13.51,13.55,13.51,13.55,159300.0,221800.0,77600.0,93200.0,2154426.0,3004793.0,1051524.0,1262946.0
2019-07-09 13:15:00,13.55,13.55,13.54,13.54,13.54,13.56,13.54,13.56,13.55,13.56,13.55,13.56,13.54,13.54,13.54,13.54,133400.0,133400.0,53800.0,90400.0,1806955.0,1806955.0,729065.0,1224804.0
2019-07-09 13:20:00,13.55,13.56,13.53,13.53,13.55,13.55,13.51,13.51,13.56,13.56,13.53,13.53,13.55,13.55,13.5,13.5,99600.0,216000.0,97800.0,216000.0,1350046.0,2920342.0,1324907.0,2920342.0
2019-07-09 13:25:00,13.51,13.53,13.51,13.51,13.5,13.53,13.5,13.52,13.52,13.54,13.52,13.52,13.5,13.52,13.5,13.51,156300.0,355100.0,49800.0,49800.0,2111512.0,4801472.0,673469.0,673469.0
2019-07-09 13:30:00,13.52,13.53,13.51,13.51,13.53,13.53,13.51,13.51,13.53,13.54,13.52,13.52,13.52,13.52,13.5,13.5,71900.0,128800.0,65600.0,93800.0,971776.0,1741545.0,887483.0,1267471.0
2019-07-09 13:35:00,13.51,13.54,13.51,13.54,13.51,13.54,13.51,13.53,13.52,13.54,13.52,13.54,13.5,13.52,13.5,13.52,90900.0,111500.0,65200.0,78300.0,1227868.0,1506855.0,880875.0,1059186.0
2019-07-09 13:40:00,13.51,13.55,13.51,13.53,13.51,13.54,13.51,13.51,13.55,13.55,13.53,13.53,13.51,13.52,13.51,13.51,124700.0,162100.0,59100.0,69100.0,1685803.0,2192989.0,798915.0,934070.0
2019-07-09 13:45:00,13.53,13.54,13.51,13.51,13.51,13.54,13.51,13.53,13.53,13.55,13.52,13.53,13.51,13.51,13.5,13.51,174500.0,1228200.0,111500.0,111500.0,2357923.0,16628634.0,1507201.0,1507201.0
2019-07-09 13:50:00,13.51,13.54,13.5,13.52,13.53,13.53,13.51,13.53,13.53,13.54,13.53,13.54,13.5,13.5,13.5,13.5,126700.0,183200.0,71200.0,138200.0,1712614.0,2474922.0,962606.0,1868563.0
2019-07-09 13:55:00,13.51,13.52,13.5,13.51,13.49,13.52,13.49,13.52,13.53,13.53,13.51,13.52,13.49,13.5,13.48,13.5,215300.0,285300.0,41900.0,41900.0,2907389.0,3849870.0,566049.0,566049.0
2019-07-09 14:00:00,13.52,13.54,13.52,13.54,13.53,13.55,13.53,13.54,13.53,13.55,13.53,13.55,13.5,13.54,13.5,13.54,95700.0,127200.0,59100.0,59100.0,1293534.0,1721925.0,801003.0,801003.0
2019-07-09 14:05:00,13.55,13.57,13.55,13.55,13.56,13.57,13.55,13.57,13.56,13.58,13.56,13.58,13.54,13.56,13.54,13.55,85000.0,544100.0,85000.0,147700.0,1152191.0,7382519.0,1152191.0,2003490.0
2019-07-09 14:10:00,13.57,13.59,13.54,13.57,13.54,13.59,13.54,13.57,13.57,13.59,13.56,13.59,13.54,13.57,13.54,13.57,317100.0,921600.0,189100.0,189100.0,4297158.0,12487486.0,2567950.0,2567950.0
2019-07-09 14:15:00,13.57,13.6,13.57,13.58,13.57,13.6,13.57,13.58,13.58,13.6,13.58,13.6,13.56,13.58,13.56,13.58,79400.0,691900.0,79400.0,261700.0,1077426.0,9407553.0,1077426.0,3556728.0
2019-07-09 14:20:00,13.58,13.61,13.58,13.61,13.59,13.62,13.58,13.62,13.6,13.62,13.6,13.62,13.58,13.6,13.58,13.6,186900.0,186900.0,118600.0,144600.0,2540455.0,2540455.0,1611574.0,1967166.0
2019-07-09 14:25:00,13.63,13.63,13.59,13.6,13.63,13.63,13.58,13.58,13.63,13.63,13.59,13.6,13.61,13.61,13.57,13.58,814300.0,814300.0,127100.0,151500.0,11096097.0,11096097.0,1726020.0,2058750.0
2019-07-09 14:30:00,13.59,13.6,13.58,13.58,13.6,13.6,13.58,13.59,13.6,13.6,13.59,13.59,13.58,13.58,13.58,13.58,80600.0,507200.0,80600.0,92000.0,1095462.0,6895407.0,1095462.0,1249664.0
2019-07-09 14:35:00,13.58,13.59,13.58,13.58,13.58,13.59,13.57,13.57,13.59,13.6,13.59,13.59,13.58,13.58,13.57,13.57,117200.0,177800.0,67700.0,177800.0,1592258.0,2414611.0,919268.0,2414611.0
2019-07-09 14:40:00,13.57,13.57,13.57,13.57,13.57,13.57,13.56,13.56,13.58,13.58,13.58,13.58,13.57,13.57,13.56,13.56,99800.0,109200.0,64700.0,75700.0,1354903.0,1482393.0,878053.0,1026956.0
2019-07-09 14:45:00,13.56,13.58,13.56,13.58,13.56,13.58,13.55,13.55,13.57,13.58,13.56,13.58,13.56,13.56,13.55,13.55,83300.0,320100.0,83300.0,320100.0,1129664.0,4338364.0,1129664.0,4338364.0
2019-07-09 14:50:00,13.54,13.57,13.54,13.55,13.54,13.56,13.54,13.55,13.55,13.58,13.55,13.56,13.54,13.55,13.54,13.55,202800.0,202800.0,73100.0,73100.0,2746928.0,2746928.0,991180.0,991180.0
2019-07-09 14:55:00,13.56,13.57,13.56,13.56,13.57,13.58,13.56,13.57,13.58,13.59,13.58,13.58,13.56,13.56,13.55,13.55,229800.0,422900.0,83700.0,198400.0,3117588.0,5741235.0,1135359.0,2690498.0
2019-07-09 15:00:00,13.56,13.59,13.56,13.59,13.56,13.59,13.56,13.59,13.57,13.59,13.56,13.59,13.56,13.59,13.55,13.59,158100.0,1986400.0,0.0,1986400.0,2143902.0,26995176.0,0.0,26995176.0
