,open,close,high,low,volume,money
2019-07-09 09:31:00,13.63,13.67,13.68,13.63,1143400.0,15596355.0
2019-07-09 09:32:00,13.67,13.69,13.7,13.67,783800.0,10727583.0
2019-07-09 09:33:00,13.69,13.68,13.71,13.68,540900.0,7405717.0
2019-07-09 09:34:00,13.68,13.69,13.7,13.68,411500.0,5632185.0
2019-07-09 09:35:00,13.7,13.68,13.7,13.68,486100.0,6654323.0
2019-07-09 09:36:00,13.68,13.67,13.69,13.67,272800.0,3731108.0
2019-07-09 09:37:00,13.66,13.67,13.69,13.66,171300.0,2342662.0
2019-07-09 09:38:00,13.67,13.68,13.68,13.66,282000.0,3853614.0
2019-07-09 09:39:00,13.68,13.66,13.68,13.66,168600.0,2304859.0
2019-07-09 09:40:00,13.66,13.65,13.67,13.65,203900.0,2785913.0
2019-07-09 09:41:00,13.65,13.63,13.65,13.62,261800.0,3569102.0
2019-07-09 09:42:00,13.63,13.63,13.64,13.61,273500.0,3727157.0
2019-07-09 09:43:00,13.64,13.64,13.65,13.64,170800.0,2331083.0
2019-07-09 09:44:00,13.65,13.64,13.65,13.62,315700.0,4306803.0
2019-07-09 09:45:00,13.63,13.6,13.64,13.6,313100.0,4260555.0
2019-07-09 09:46:00,13.6,13.63,13.63,13.6,134100.0,1825819.0
2019-07-09 09:47:00,13.62,13.59,13.63,13.59,385700.0,5247569.0
2019-07-09 09:48:00,13.59,13.58,13.59,13.58,245100.0,3329665.0
2019-07-09 09:49:00,13.57,13.59,13.6,13.57,226800.0,3081024.0
2019-07-09 09:50:00,13.59,13.6,13.6,13.56,169400.0,2300557.0
2019-07-09 09:51:00,13.59,13.61,13.61,13.59,453900.0,6171954.0
2019-07-09 09:52:00,13.6,13.6,13.6,13.59,364400.0,4955388.0
2019-07-09 09:53:00,13.6,13.6,13.62,13.6,356800.0,4853578.0
2019-07-09 09:54:00,13.6,13.6,13.61,13.59,100500.0,1366567.0
2019-07-09 09:55:00,13.61,13.61,13.62,13.6,121900.0,1659043.0
2019-07-09 09:56:00,13.61,13.62,13.62,13.6,116400.0,1584391.0
2019-07-09 09:57:00,13.62,13.64,13.65,13.62,145100.0,1977713.0
2019-07-09 09:58:00,13.65,13.65,13.65,13.64,133200.0,1817718.0
2019-07-09 09:59:00,13.65,13.64,13.65,13.63,135200.0,1844973.0
2019-07-09 10:00:00,13.65,13.64,13.65,13.63,99500.0,1357421.0
2019-07-09 10:01:00,13.64,13.62,13.65,13.62,59500.0,811318.0
2019-07-09 10:02:00,13.62,13.61,13.63,13.61,99100.0,1350179.0
2019-07-09 10:03:00,13.6,13.61,13.62,13.6,81300.0,1106281.0
2019-07-09 10:04:00,13.6,13.62,13.62,13.6,198100.0,2694574.0
2019-07-09 10:05:00,13.62,13.65,13.65,13.62,148200.0,2019943.0
2019-07-09 10:06:00,13.63,13.63,13.63,13.6,293100.0,3992557.0
2019-07-09 10:07:00,13.61,13.62,13.63,13.6,67000.0,911892.0
2019-07-09 10:08:00,13.62,13.59,13.62,13.59,91700.0,1247730.0
2019-07-09 10:09:00,13.6,13.59,13.6,13.58,145300.0,1974728.0
2019-07-09 10:10:00,13.59,13.58,13.61,13.58,190900.0,2594607.0
2019-07-09 10:11:00,13.59,13.6,13.6,13.59,82300.0,1118801.0
2019-07-09 10:12:00,13.59,13.59,13.6,13.58,384100.0,5218231.0
2019-07-09 10:13:00,13.59,13.6,13.61,13.59,190800.0,2594282.0
2019-07-09 10:14:00,13.61,13.61,13.62,13.59,51400.0,699383.0
2019-07-09 10:15:00,13.61,13.58,13.62,13.58,224500.0,3051683.0
2019-07-09 10:16:00,13.59,13.6,13.6,13.59,27100.0,368511.0
2019-07-09 10:17:00,13.6,13.59,13.61,13.58,174800.0,2375882.0
2019-07-09 10:18:00,13.6,13.59,13.6,13.59,120500.0,1637901.0
2019-07-09 10:19:00,13.59,13.59,13.6,13.59,162800.0,2213273.0
2019-07-09 10:20:00,13.6,13.59,13.6,13.59,139100.0,1890926.0
2019-07-09 10:21:00,13.59,13.59,13.6,13.59,113100.0,1537409.0
2019-07-09 10:22:00,13.6,13.61,13.61,13.6,189000.0,2569909.0
2019-07-09 10:23:00,13.61,13.61,13.61,13.6,104600.0,1422545.0
2019-07-09 10:24:00,13.6,13.6,13.61,13.6,127000.0,1727873.0
2019-07-09 10:25:00,13.61,13.6,13.62,13.6,176600.0,2403773.0
2019-07-09 10:26:00,13.6,13.6,13.62,13.56,641000.0,8707779.0
2019-07-09 10:27:00,13.57,13.59,13.6,13.57,110200.0,1497311.0
2019-07-09 10:28:00,13.59,13.58,13.59,13.58,179400.0,2437064.0
2019-07-09 10:29:00,13.58,13.57,13.59,13.57,94400.0,1282211.0
2019-07-09 10:30:00,13.58,13.57,13.58,13.57,306100.0,4154406.0
2019-07-09 10:31:00,13.59,13.58,13.59,13.56,160700.0,2181309.0
2019-07-09 10:32:00,13.57,13.56,13.59,13.56,205700.0,2790225.0
2019-07-09 10:33:00,13.56,13.57,13.58,13.56,45200.0,613479.0
2019-07-09 10:34:00,13.57,13.57,13.58,13.57,136800.0,1856959.0
2019-07-09 10:35:00,13.57,13.58,13.58,13.56,328500.0,4454661.0
2019-07-09 10:36:00,13.58,13.58,13.58,13.57,55700.0,756060.0
2019-07-09 10:37:00,13.58,13.57,13.58,13.55,126800.0,1720470.0
2019-07-09 10:38:00,13.57,13.56,13.58,13.56,74100.0,1005007.0
2019-07-09 10:39:00,13.57,13.54,13.57,13.54,132800.0,1799342.0
2019-07-09 10:40:00,13.56,13.56,13.56,13.55,121800.0,1650575.0
2019-07-09 10:41:00,13.56,13.57,13.57,13.54,142700.0,1934004.0
2019-07-09 10:42:00,13.56,13.57,13.58,13.56,184500.0,2503656.0
2019-07-09 10:43:00,13.57,13.57,13.58,13.56,55500.0,752889.0
2019-07-09 10:44:00,13.58,13.56,13.58,13.56,111000.0,1506177.0
2019-07-09 10:45:00,13.56,13.55,13.56,13.53,371300.0,5028477.0
2019-07-09 10:46:00,13.55,13.56,13.56,13.54,70500.0,954972.0
2019-07-09 10:47:00,13.56,13.56,13.56,13.55,104600.0,1417944.0
2019-07-09 10:48:00,13.55,13.54,13.56,13.54,95600.0,1295196.0
2019-07-09 10:49:00,13.54,13.54,13.55,13.54,222500.0,3011955.0
2019-07-09 10:50:00,13.54,13.54,13.54,13.53,125300.0,1696019.0
2019-07-09 10:51:00,13.53,13.54,13.54,13.53,64700.0,875649.0
2019-07-09 10:52:00,13.53,13.51,13.53,13.51,376800.0,5092807.0
2019-07-09 10:53:00,13.51,13.5,13.53,13.49,942500.0,12724240.0
2019-07-09 10:54:00,13.49,13.49,13.5,13.47,785100.0,10575695.0
2019-07-09 10:55:00,13.49,13.5,13.5,13.48,439100.0,5914136.0
2019-07-09 10:56:00,13.49,13.46,13.49,13.46,594300.0,8003798.0
2019-07-09 10:57:00,13.47,13.5,13.5,13.47,287900.0,3881754.0
2019-07-09 10:58:00,13.49,13.49,13.5,13.49,65000.0,876893.0
2019-07-09 10:59:00,13.49,13.5,13.5,13.49,56300.0,759655.0
2019-07-09 11:00:00,13.49,13.5,13.5,13.48,249500.0,3364968.0
2019-07-09 11:01:00,13.5,13.5,13.5,13.48,131400.0,1772653.0
2019-07-09 11:02:00,13.5,13.49,13.5,13.48,92900.0,1253184.0
2019-07-09 11:03:00,13.49,13.47,13.49,13.47,528200.0,7117646.0
2019-07-09 11:04:00,13.46,13.49,13.49,13.45,1527000.0,20547227.0
2019-07-09 11:05:00,13.49,13.49,13.5,13.49,189400.0,2555459.0
2019-07-09 11:06:00,13.49,13.49,13.5,13.49,258000.0,3480701.0
2019-07-09 11:07:00,13.49,13.5,13.51,13.49,218000.0,2942363.0
2019-07-09 11:08:00,13.51,13.5,13.52,13.5,125200.0,1690735.0
2019-07-09 11:09:00,13.5,13.51,13.51,13.5,78100.0,1054676.0
2019-07-09 11:10:00,13.51,13.53,13.53,13.5,94000.0,1269892.0
2019-07-09 11:11:00,13.5,13.54,13.56,13.5,258600.0,3501843.0
2019-07-09 11:12:00,13.53,13.5,13.54,13.5,107400.0,1452152.0
2019-07-09 11:13:00,13.52,13.52,13.53,13.5,64300.0,868706.0
2019-07-09 11:14:00,13.51,13.48,13.51,13.48,204400.0,2756842.0
2019-07-09 11:15:00,13.48,13.48,13.5,13.48,135100.0,1822014.0
2019-07-09 11:16:00,13.5,13.48,13.5,13.48,132300.0,1784072.0
2019-07-09 11:17:00,13.48,13.48,13.49,13.47,144400.0,1946797.0
2019-07-09 11:18:00,13.48,13.48,13.49,13.48,107600.0,1450723.0
2019-07-09 11:19:00,13.48,13.48,13.5,13.47,94000.0,1267273.0
2019-07-09 11:20:00,13.49,13.49,13.49,13.48,66800.0,900796.0
2019-07-09 11:21:00,13.49,13.47,13.49,13.47,249300.0,3360313.0
2019-07-09 11:22:00,13.47,13.49,13.49,13.47,127000.0,1711293.0
2019-07-09 11:23:00,13.48,13.47,13.48,13.46,238700.0,3214947.0
2019-07-09 11:24:00,13.47,13.46,13.48,13.46,51800.0,698010.0
2019-07-09 11:25:00,13.46,13.48,13.48,13.46,68800.0,926807.0
2019-07-09 11:26:00,13.48,13.49,13.49,13.48,92900.0,1253055.0
2019-07-09 11:27:00,13.49,13.5,13.52,13.49,259800.0,3506449.0
2019-07-09 11:28:00,13.49,13.47,13.5,13.47,140900.0,1900365.0
2019-07-09 11:29:00,13.47,13.47,13.48,13.46,75200.0,1013032.0
2019-07-09 11:30:00,13.48,13.47,13.48,13.47,35900.0,483798.0
2019-07-09 13:01:00,13.47,13.49,13.49,13.46,431900.0,5817923.0
2019-07-09 13:02:00,13.5,13.48,13.5,13.48,115000.0,1551928.0
2019-07-09 13:03:00,13.49,13.49,13.5,13.48,61200.0,825787.0
2019-07-09 13:04:00,13.5,13.5,13.51,13.49,99200.0,1339613.0
2019-07-09 13:05:00,13.51,13.52,13.53,13.49,256700.0,3467736.0
2019-07-09 13:06:00,13.52,13.52,13.53,13.51,159300.0,2154426.0
2019-07-09 13:07:00,13.54,13.55,13.56,13.53,221800.0,3004793.0
2019-07-09 13:08:00,13.55,13.56,13.56,13.54,143800.0,1948417.0
2019-07-09 13:09:00,13.55,13.56,13.56,13.54,77600.0,1051524.0
2019-07-09 13:10:00,13.55,13.55,13.56,13.55,93200.0,1262946.0
2019-07-09 13:11:00,13.55,13.54,13.55,13.54,133400.0,1806955.0
2019-07-09 13:12:00,13.54,13.55,13.55,13.54,89000.0,1205804.0
2019-07-09 13:13:00,13.55,13.54,13.56,13.54,53800.0,729065.0
2019-07-09 13:14:00,13.55,13.54,13.55,13.54,55900.0,756890.0
2019-07-09 13:15:00,13.54,13.56,13.56,13.54,90400.0,1224804.0
2019-07-09 13:16:00,13.55,13.55,13.56,13.55,99600.0,1350046.0
2019-07-09 13:17:00,13.56,13.55,13.56,13.54,97800.0,1324907.0
2019-07-09 13:18:00,13.55,13.55,13.56,13.54,159400.0,2158931.0
2019-07-09 13:19:00,13.54,13.54,13.54,13.52,99700.0,1349164.0
2019-07-09 13:20:00,13.53,13.51,13.53,13.5,216000.0,2920342.0
2019-07-09 13:21:00,13.51,13.5,13.52,13.5,156300.0,2111512.0
2019-07-09 13:22:00,13.52,13.53,13.53,13.52,146200.0,1976751.0
2019-07-09 13:23:00,13.53,13.52,13.54,13.51,355100.0,4801472.0
2019-07-09 13:24:00,13.51,13.52,13.53,13.5,108700.0,1468379.0
2019-07-09 13:25:00,13.51,13.52,13.52,13.51,49800.0,673469.0
2019-07-09 13:26:00,13.52,13.53,13.53,13.52,71900.0,971776.0
2019-07-09 13:27:00,13.53,13.53,13.54,13.52,65600.0,887483.0
2019-07-09 13:28:00,13.52,13.53,13.53,13.52,128800.0,1741545.0
2019-07-09 13:29:00,13.52,13.51,13.52,13.51,73000.0,986017.0
2019-07-09 13:30:00,13.51,13.51,13.52,13.5,93800.0,1267471.0
2019-07-09 13:31:00,13.51,13.51,13.52,13.5,90900.0,1227868.0
2019-07-09 13:32:00,13.51,13.52,13.52,13.5,65200.0,880875.0
2019-07-09 13:33:00,13.51,13.52,13.53,13.51,111500.0,1506855.0
2019-07-09 13:34:00,13.53,13.54,13.54,13.52,105300.0,1424589.0
2019-07-09 13:35:00,13.54,13.53,13.54,13.52,78300.0,1059186.0
2019-07-09 13:36:00,13.51,13.51,13.55,13.51,124700.0,1685803.0
2019-07-09 13:37:00,13.53,13.54,13.54,13.52,62500.0,845504.0
2019-07-09 13:38:00,13.55,13.52,13.55,13.52,162100.0,2192989.0
2019-07-09 13:39:00,13.55,13.53,13.55,13.51,59100.0,798915.0
2019-07-09 13:40:00,13.53,13.51,13.53,13.51,69100.0,934070.0
2019-07-09 13:41:00,13.53,13.51,13.53,13.51,174500.0,2357923.0
2019-07-09 13:42:00,13.51,13.51,13.52,13.5,169600.0,2289922.0
2019-07-09 13:43:00,13.51,13.54,13.55,13.51,1228200.0,16628634.0
2019-07-09 13:44:00,13.54,13.53,13.54,13.51,171800.0,2324026.0
2019-07-09 13:45:00,13.51,13.53,13.53,13.51,111500.0,1507201.0
2019-07-09 13:46:00,13.51,13.53,13.53,13.5,126700.0,1712614.0
2019-07-09 13:47:00,13.54,13.51,13.54,13.5,183200.0,2474922.0
2019-07-09 13:48:00,13.52,13.53,13.53,13.5,98400.0,1329867.0
2019-07-09 13:49:00,13.5,13.52,13.54,13.5,71200.0,962606.0
2019-07-09 13:50:00,13.52,13.53,13.54,13.5,138200.0,1868563.0
2019-07-09 13:51:00,13.51,13.49,13.53,13.49,215300.0,2907389.0
2019-07-09 13:52:00,13.5,13.51,13.51,13.48,285300.0,3849870.0
2019-07-09 13:53:00,13.52,13.51,13.53,13.49,140500.0,1897048.0
2019-07-09 13:54:00,13.51,13.5,13.51,13.5,68800.0,929153.0
2019-07-09 13:55:00,13.51,13.52,13.52,13.5,41900.0,566049.0
2019-07-09 13:56:00,13.52,13.53,13.53,13.5,95700.0,1293534.0
2019-07-09 13:57:00,13.53,13.54,13.54,13.53,77600.0,1050426.0
2019-07-09 13:58:00,13.54,13.53,13.55,13.53,76200.0,1031437.0
2019-07-09 13:59:00,13.53,13.55,13.55,13.52,127200.0,1721925.0
2019-07-09 14:00:00,13.54,13.54,13.55,13.54,59100.0,801003.0
2019-07-09 14:01:00,13.55,13.56,13.56,13.54,85000.0,1152191.0
2019-07-09 14:02:00,13.56,13.57,13.58,13.56,544100.0,7382519.0
2019-07-09 14:03:00,13.57,13.57,13.58,13.56,157400.0,2135038.0
2019-07-09 14:04:00,13.55,13.55,13.58,13.55,188700.0,2560860.0
2019-07-09 14:05:00,13.55,13.57,13.58,13.55,147700.0,2003490.0
2019-07-09 14:06:00,13.57,13.54,13.57,13.54,317100.0,4297158.0
2019-07-09 14:07:00,13.54,13.55,13.56,13.54,921600.0,12487486.0
2019-07-09 14:08:00,13.57,13.59,13.59,13.56,361500.0,4907316.0
2019-07-09 14:09:00,13.59,13.58,13.59,13.57,203100.0,2758693.0
2019-07-09 14:10:00,13.57,13.57,13.59,13.57,189100.0,2567950.0
2019-07-09 14:11:00,13.57,13.57,13.58,13.56,79400.0,1077426.0
2019-07-09 14:12:00,13.57,13.6,13.6,13.57,260000.0,3532302.0
2019-07-09 14:13:00,13.6,13.6,13.6,13.58,691900.0,9407553.0
2019-07-09 14:14:00,13.59,13.57,13.59,13.57,165000.0,2241200.0
2019-07-09 14:15:00,13.58,13.58,13.6,13.58,261700.0,3556728.0
2019-07-09 14:16:00,13.58,13.59,13.6,13.58,186900.0,2540455.0
2019-07-09 14:17:00,13.59,13.58,13.6,13.58,118600.0,1611574.0
2019-07-09 14:18:00,13.59,13.6,13.6,13.58,135900.0,1846941.0
2019-07-09 14:19:00,13.59,13.61,13.61,13.59,153000.0,2080448.0
2019-07-09 14:20:00,13.61,13.62,13.62,13.6,144600.0,1967166.0
2019-07-09 14:21:00,13.63,13.63,13.63,13.61,814300.0,11096097.0
2019-07-09 14:22:00,13.63,13.61,13.63,13.61,351900.0,4793774.0
2019-07-09 14:23:00,13.61,13.59,13.63,13.58,151900.0,2066223.0
2019-07-09 14:24:00,13.59,13.59,13.59,13.57,127100.0,1726020.0
2019-07-09 14:25:00,13.6,13.58,13.6,13.58,151500.0,2058750.0
2019-07-09 14:26:00,13.59,13.6,13.6,13.58,80600.0,1095462.0
2019-07-09 14:27:00,13.6,13.59,13.6,13.58,227300.0,3089419.0
2019-07-09 14:28:00,13.6,13.58,13.6,13.58,412300.0,5605393.0
2019-07-09 14:29:00,13.58,13.6,13.6,13.58,507200.0,6895407.0
2019-07-09 14:30:00,13.58,13.59,13.59,13.58,92000.0,1249664.0
2019-07-09 14:31:00,13.58,13.58,13.59,13.58,117200.0,1592258.0
2019-07-09 14:32:00,13.59,13.59,13.59,13.58,113800.0,1545852.0
2019-07-09 14:33:00,13.58,13.59,13.6,13.58,100400.0,1364174.0
2019-07-09 14:34:00,13.58,13.57,13.59,13.57,67700.0,919268.0
2019-07-09 14:35:00,13.58,13.57,13.59,13.57,177800.0,2414611.0
2019-07-09 14:36:00,13.57,13.57,13.58,13.57,99800.0,1354903.0
2019-07-09 14:37:00,13.57,13.57,13.58,13.57,94300.0,1280156.0
2019-07-09 14:38:00,13.57,13.57,13.58,13.57,109200.0,1482393.0
2019-07-09 14:39:00,13.57,13.57,13.58,13.57,64700.0,878053.0
2019-07-09 14:40:00,13.57,13.56,13.58,13.56,75700.0,1026956.0
2019-07-09 14:41:00,13.56,13.56,13.57,13.56,83300.0,1129664.0
2019-07-09 14:42:00,13.56,13.57,13.57,13.56,89300.0,1211393.0
2019-07-09 14:43:00,13.56,13.56,13.56,13.55,221100.0,2998109.0
2019-07-09 14:44:00,13.56,13.58,13.58,13.55,176600.0,2394734.0
2019-07-09 14:45:00,13.58,13.55,13.58,13.55,320100.0,4338364.0
2019-07-09 14:46:00,13.54,13.54,13.55,13.54,202800.0,2746928.0
2019-07-09 14:47:00,13.55,13.55,13.56,13.54,154000.0,2086493.0
2019-07-09 14:48:00,13.55,13.56,13.57,13.55,96500.0,1308327.0
2019-07-09 14:49:00,13.57,13.56,13.58,13.55,175400.0,2378805.0
2019-07-09 14:50:00,13.55,13.55,13.56,13.55,73100.0,991180.0
2019-07-09 14:51:00,13.56,13.57,13.58,13.56,229800.0,3117588.0
2019-07-09 14:52:00,13.56,13.58,13.58,13.56,208000.0,2822832.0
2019-07-09 14:53:00,13.57,13.58,13.58,13.55,83700.0,1135359.0
2019-07-09 14:54:00,13.57,13.56,13.59,13.56,422900.0,5741235.0
2019-07-09 14:55:00,13.56,13.57,13.58,13.55,198400.0,2690498.0
2019-07-09 14:56:00,13.56,13.56,13.57,13.56,158100.0,2143902.0
2019-07-09 14:57:00,13.56,13.56,13.57,13.55,112600.0,1527141.0
2019-07-09 14:58:00,13.56,13.56,13.56,13.56,5000.0,67842.0
2019-07-09 14:59:00,13.56,13.56,13.56,13.56,0.0,0.0
2019-07-09 15:00:00,13.59,13.59,13.59,13.59,1986400.0,26995176.0
